id,state_id,id_1_id_system,id_1_assigning_ord_code,id_1_id_code,name_verification,name_prefix,name_first,name_middle,name_last,name_suffix,name_maiden,other_name_1_type,other_name_1_prefix,other_name_1_first,other_name_1_middle,other_name_1_last,other_name_1_suffix,sex,birth_date,birth_city,birth_state_abbrev,birth_country_code,birth_date_entered_us,birth_multiple_status,address_1_type,address_1_street_number_name,address_1_apt_number,address_1_bldg_number,address_1_city,address_1_state_abbrev,address_1_postal_code,address_1_county_name,address_1_county_fips_code,address_1_country_code,address_1_latitude,address_1_longitude,telephone_1_type,telephone_1_primary_indicator,telephone_1_number,email_1_type,email_1_address,profile_thumbnail,hispanic_latino_ethnicity,old_ethnicity,racial_category_1,economic_disadvantaged,school_food_services_eligibility,characteristic_1_characteristic,characteristic_1_begin_date,characteristic_1_end_date,characteristic_1_designated_by,limited_english_proficiency,language_1,home_language_1,disability_1_disability,disability_1_diagnosis,disability_1_order,section_504_disability_1,displacement_status_type,programs_1_program,programs_1_begin_date,programs_1_end_date,programs_1_designated_by,learning_styles_visual,learning_styles_auditory,learning_styles_tactile,cohort_year_type,cohort_year,indicator_1_name,indicator_1_indicator,indicator_1_begin_date,indicator_1_end_date,indicator_1_designated_by
,900000011,,,,Birth certificate,,LISA,,ANDERSON,,,,,,,,,Female,1999-11-01,Bedford Park,IL,US,,,,261 Boxelder Street,,,Chicago,IL,68010,,,US,,,Home,,(123) 456-7900,Home/Personal,landerson@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,Medical Condition,,,,,,,,,,,,,,,
,900000012,,,,Birth certificate,,NANCY,,THOMAS,,,,,,,,,Female,1999-12-01,Bensenville,IL,US,,,,629 Buckeye Cresent,,,Chicago,IL,68011,,,US,,,Home,,(123) 456-7901,Home/Personal,nthomas@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000013,,,,Birth certificate,,KAREN,,JACKSON,,,,,,,,,Female,1999-01-02,Berwyn,IL,US,,,,968 Camellia Road,,,Chicago,IL,68012,,,US,,,Home,,(123) 456-7902,Home/Personal,kjackson@test.slidev.org,,,,Black - African American,,,,,,,,,,,,,Medical Condition,,,,,,,,,,,,,,,
,900000014,,,,Birth certificate,,BETTY,,WHITE,,,,,,,,,Female,1999-01-03,Bloomingdale,IL,US,,,,232 Castoraralia Cresent,,,Chicago,IL,68013,,,US,,,Home,,(123) 456-7903,Home/Personal,bwhite@test.slidev.org,,,,Black - African American,,,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,Special Education,,,,,,,,,,,,,
,900000015,,,,Birth certificate,,HELEN,,HARRIS,,,,,,,,,Female,1999-01-04,Blue Island,IL,US,,,,137 Catalpa Street,,,Chicago,IL,68014,,,US,,,Home,,(123) 456-7904,Home/Personal,hharris@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000016,,,,Birth certificate,,SANDRA,,MARTIN,,,,,,,,,Female,1999-01-05,Bolingbrook,IL,US,,,,811 Cedar Cresent,,,Chicago,IL,68015,,,US,,,Home,,(123) 456-7905,Home/Personal,smartin@test.slidev.org,,,,American Indian - Alaskan Native,,Reduced price,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000017,,,,Birth certificate,,DONNA,,THOMPSON,,,,,,,,,Female,1999-01-06,Bourbonnais,IL,US,,,,250 Cedar Street,,,Chicago,IL,68016,,,US,,,Home,,(123) 456-7906,Home/Personal,dthompson@test.slidev.org,,,,American Indian - Alaskan Native,,Reduced price,,,,,,,,,,,Sensory Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000018,,,,Birth certificate,,CAROL,,GARCIA,,,,,,,,,Female,1999-01-07,Bradley,IL,US,,,,519 Ceder Street,,,Chicago,IL,68017,,,US,,,Home,,(123) 456-7907,Home/Personal,cgarcia@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,Sensory Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000019,,,,Birth certificate,,RUTH,,MARTINEZ,,,,,,,,,Female,1999-01-08,Bridgeview,IL,US,,,,394 Cedrela Avenue,,,Chicago,IL,68018,,,US,,,Home,,(123) 456-7908,Home/Personal,rmartinez@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,Sensory Impairment,,,,,,,,,,,,,,,
,900000020,,,,Birth certificate,,SHARON,,ROBINSON,,,,,,,,,Female,1999-01-09,Broadview,IL,US,,,,809 Chastetree Road,,,Chicago,IL,68019,,,US,,,Home,,(123) 456-7909,Home/Personal,srobinson@test.slidev.org,,,,American Indian - Alaskan Native,,Free,,,,,,,,,,,Sensory Impairment,,Special Education,,,,,,,,,,,,,
,900000021,,,,Birth certificate,,MICHELLE,,CLARK,,,,,,,,,Female,1999-01-10,Brookfield,IL,US,,,,692 Cherry Avenue,,,Chicago,IL,68020,,,US,,,Home,,(123) 456-7910,Home/Personal,mclark@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000022,,,,Birth certificate,,LAURA,,RODRIGUEZ,,,,,,,,,Female,1999-01-11,Buffalo Grove,IL,US,,,,938 Cherrylaurel Blvd,,,Chicago,IL,68021,,,US,,,Home,,(123) 456-7911,Home/Personal,lrodriguez@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,Motor Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000023,,,,Birth certificate,,SARAH,,LEWIS,,,,,,,,,Female,1999-01-12,Burbank,IL,US,,,,174 Chestnut Cresent,,,Chicago,IL,68022,,,US,,,Home,,(123) 456-7912,Home/Personal,slewis@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,Motor Impairment,,,,,,,,,,,,,,,
,900000024,,,,Birth certificate,,KIMBERLY,,LEE,,,,,,,,,Female,1999-01-13,Burr Ridge,IL,US,,,,100 Chinaberry Avenue,,,Chicago,IL,68023,,,US,,,Home,,(123) 456-7913,Home/Personal,klee@test.slidev.org,,,,Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000025,,,,Birth certificate,,DEBORAH,,WALKER,,,,,,,,,Female,1999-01-14,Calumet Park,IL,US,,,,34 Chinquapin Blvd,,,Chicago,IL,68024,,,US,,,Home,,(123) 456-7914,Home/Personal,dwalker@test.slidev.org,,,,Asian,,,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000026,,,,Birth certificate,,JESSICA,,HALL,,,,,,,,,Female,1999-01-15,Carol Stream,IL,US,,,,69 Chokeberry Blvd,,,Chicago,IL,68025,,,US,,,Home,,(123) 456-7915,Home/Personal,jhall@test.slidev.org,,,,Asian,,,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000027,,,,Birth certificate,,SHIRLEY,,ALLEN,,,,,,,,,Female,1999-01-16,Carpentersville,IL,US,,,,17 Chokecherry Road,,,Chicago,IL,68026,,,US,,,Home,,(123) 456-7916,Home/Personal,sallen@test.slidev.org,,,,Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000028,,,,Birth certificate,,CYNTHIA,,YOUNG,,,,,,,,,Female,1999-01-17,Cary,IL,US,,,,661 Corktree Cresent,,,Chicago,IL,68027,,,US,,,Home,,(123) 456-7917,Home/Personal,cyoung@test.slidev.org,,,,Asian,,,,,,,,,,,,,Motor Impairment,,,,,,,,,,,,,,,
,900000029,,,,Birth certificate,,ANGELA,BETTY,HERNANDEZ,,,,,,,,,Female,1999-01-18,Cedar Lake,IL,US,,,,400 Cottonwood Cresent,,,Chicago,IL,68028,,,US,,,Home,,(123) 456-7918,Home/Personal,ahernandez@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000030,,,,Birth certificate,,MELISSA,HELEN,KING,Jr,,,,,,,,Female,1999-01-19,Channahon,IL,US,,,,781 Crabapple Blvd,,,Chicago,IL,68029,,,US,,,Home,,(123) 456-7919,Home/Personal,mking@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,Motor Impairment,,,,,,,,,,,,,,,
,900000031,,,,Birth certificate,,JAMES,,WRIGHT,,,,,,,,,Male,1999-01-20,Chicago,IL,US,,,,453 Crabapples Avenue,,,Chicago,IL,68030,,,US,,,Home,,(123) 456-7920,Home/Personal,jwright@test.slidev.org,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000032,,,,Birth certificate,,JOHN,,LOPEZ,,,,,,,,,Male,1999-01-21,Chicago Heights,IL,US,,,,656 Crape myrtle Cresent,,,Chicago,IL,68031,,,US,,,Home,,(123) 456-7921,Home/Personal,jlopez@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000033,,,,Birth certificate,,ROBERT,,HILL,,,,,,,,,Male,1999-01-22,Chicago Ridge,IL,US,,,,239 Cryptomeria Blvd,,,Chicago,IL,68032,,,US,,,Home,,(123) 456-7922,Home/Personal,rhill@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000034,,,,Birth certificate,,MICHAEL,,SCOTT,,,,,,,,,Male,1999-01-23,Cicero,IL,US,,,,300 Cypress Cresent,,,Chicago,IL,68033,,,US,,,Home,,(123) 456-7923,Home/Personal,mscott@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000035,,,,Birth certificate,,WILLIAM,,GREEN,,,,,,,,,Male,1999-01-24,Country Club Hills,IL,US,,,,472 Dahoon holly Avenue,,,Chicago,IL,68034,,,US,,,Home,,(123) 456-7924,Home/Personal,wgreen@test.slidev.org,,,,White,,Free,,,,,,,,,,,Sensory Impairment,,Special Education,,,,,,,,,,,,,
,900000036,,,,Birth certificate,,DAVID,WALTERS,ADAMS,,,,,,,,,Male,1999-02-02,Countryside,IL,US,,,,111 Date Cresent,,,Chicago,IL,68035,,,US,,,Home,,(123) 456-7925,Home/Personal,dadams@test.slidev.org,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000037,,,,Birth certificate,,RICHARD,JOSEPH,BAKER,,,,,,,,,Male,1999-02-03,Crest Hill,IL,US,,,,800 Redwood Cresent,,,Chicago,IL,68036,,,US,,,Home,,(123) 456-7926,Home/Personal,rbaker@test.slidev.org,,,,White,,,,,,,,,,,,,Sensory Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000038,,,,Birth certificate,,CHARLES,CHRISTOPHER,GONZALEZ,,,,,,,,,Male,1999-02-04,Crestwood,IL,US,,,,815 Devilwood Avenue,,,Chicago,IL,68037,,,US,,,Home,,(123) 456-7927,Home/Personal,cgonzalez@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000039,,,,Birth certificate,,JOSEPH,,NELSON,,,,,,,,,Male,1999-02-05,Crystal Lake,IL,US,,,,30 Dogwood Cresent,,,Chicago,IL,68038,,,US,,,Home,,(123) 456-7928,Home/Personal,jnelson@test.slidev.org,,,,White,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000040,,,,Birth certificate,,THOMAS,,CARTER,,,,,,,,,Male,1999-02-06,Darien,IL,US,,,,80 Dove tree Cresent,,,Chicago,IL,68039,,,US,,,Home,,(123) 456-7929,Home/Personal,tcarter@test.slidev.org,,,,White,,Free,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000041,,,,Birth certificate,,CHRISTOPHER,,MITCHELL,,,,,,,,,Male,1999-02-07,Deer Park,IL,US,,,,640 Elderberry Cresent,,,Chicago,IL,68040,,,US,,,Home,,(123) 456-7930,Home/Personal,cmitchell@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000042,,,,Birth certificate,,DANIEL,,PEREZ,,,,,,,,,Male,1999-02-08,Deerfield,IL,US,,,,127 Elm Street,,,Chicago,IL,68041,,,US,,,Home,,(123) 456-7931,Home/Personal,dperez@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000043,,,,Birth certificate,,PAUL,,ROBERTS,,,,,,,,,Male,1999-02-09,Des Plaines,IL,US,,,,4 Empress Road,,,Chicago,IL,68042,,,US,,,Home,,(123) 456-7932,Home/Personal,proberts@test.slidev.org,,,,White,,,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000044,,,,Birth certificate,,MARK,,TURNER,,,,,,,,,Male,1999-02-10,Dolton,IL,US,,,,38 Epaulettetree Cresent,,,Chicago,IL,68043,,,US,,,Home,,(123) 456-7933,Home/Personal,mturner@test.slidev.org,,,,White,,Free,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,,,,,,,,,,,,,,
,900000045,,,,Birth certificate,,DONALD,,PHILLIPS,,,,,,,,,Male,1999-02-11,Downers Grove,IL,US,,,,975 Eucalyptus Blvd,,,Chicago,IL,68044,,,US,,,Home,,(123) 456-7934,Home/Personal,dphillips@test.slidev.org,,,,White,,Free,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,,,,,,,,,,,,,,
,900000046,,,,Birth certificate,,GEORGE,,CAMPBELL,,,,,,,,,Male,1999-02-12,Dundee,IL,US,,,,134 Euonymus Road,,,Chicago,IL,68045,,,US,,,Home,,(123) 456-7935,Home/Personal,gcampbell@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000047,,,,Birth certificate,,KENNETH,FRANKLIN,PARKER,,,,,,,,,Male,1999-02-13,East Chicago,IL,US,,,,549 Euptellea Road,,,Chicago,IL,68046,,,US,,,Home,,(123) 456-7936,Home/Personal,kparker@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000048,,,,Birth certificate,,STEVEN,GRAHAM,EVANS,,,,,,,,,Male,1999-02-14,Elgin,IL,US,,,,335 Cherrylaurel Blvd,,,Chicago,IL,68047,,,US,,,Home,,(123) 456-7937,Home/Personal,sevans@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000049,,,,Birth certificate,,EDWARD,,EDWARDS,,,,,,,,,Male,1999-02-15,Elk Grove Village,IL,US,,,,29 Chestnut Cresent,,,Chicago,IL,68048,,,US,,,Home,,(123) 456-7938,Home/Personal,eedwards@test.slidev.org,,,,White,,,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000050,,,,Birth certificate,,BRIAN,,COLLINS,,,,,,,,,Male,1999-02-16,Elmhurst,IL,US,,,,258 Chinaberry Avenue,,,Chicago,IL,68049,,,US,,,Home,,(123) 456-7939,Home/Personal,bcollins@test.slidev.org,,,,Black - African American,,,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000051,,,,Birth certificate,,RONALD,,STEWART,,,,,,,,,Male,1999-02-17,Elmwood Park,IL,US,,,,301 Chinquapin Blvd,,,Chicago,IL,68050,,,US,,,Home,,(123) 456-7940,Home/Personal,rstewart@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000052,,,,Birth certificate,,ANTHONY,,SANCHEZ,,,,,,,,,Male,1999-02-18,Evanston,IL,US,,,,344 Chokeberry Blvd,,,Chicago,IL,68051,,,US,,,Home,,(123) 456-7941,Home/Personal,asanchez@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,Other,,Special Education,,,,,,,,,,,,,
,900000053,,,,Birth certificate,,KEVIN,,MORRIS,,,,,,,,,Male,1999-02-19,Evergreen Park,IL,US,,,,62 Chokecherry Road,,,Chicago,IL,68052,,,US,,,Home,,(123) 456-7942,Home/Personal,kmorris@test.slidev.org,,,,Black - African American,,Reduced price,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000054,,,,Birth certificate,,JASON,,ROGERS,,,,,,,,,Male,1999-02-20,Forest Park,IL,US,,,,153 Corktree Cresent,,,Chicago,IL,68053,,,US,,,Home,,(123) 456-7943,Home/Personal,jrogers@test.slidev.org,,,,American Indian - Alaskan Native,,Free,,,,,,,,,,,Sensory Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000055,,,,Birth certificate,,MATTHEW,,REED,,,,,,,,,Male,1999-02-21,Fort Sheridan,IL,US,,,,376 Cottonwood Cresent,,,Chicago,IL,68054,,,US,,,Home,,(123) 456-7944,Home/Personal,mreed@test.slidev.org,,,,American Indian - Alaskan Native,,Reduced price,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000056,,,,Birth certificate,,GARY,,COOK,,,,,,,,,Male,1999-02-22,Fox Lake,IL,US,,,,87 Crabapple Blvd,,,Chicago,IL,68055,,,US,,,Home,,(123) 456-7945,Home/Personal,gcook@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,Sensory Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000057,,,,Birth certificate,,TIMOTHY,,MORGAN,,,,,,,,,Male,1999-02-23,Frankfort,IL,US,,,,238 Crabapples Avenue,,,Chicago,IL,68056,,,US,,,Home,,(123) 456-7946,Home/Personal,tmorgan@test.slidev.org,,,,American Indian - Alaskan Native,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000058,,,,Birth certificate,,JOSE,,BELL,,,,,,,,,Male,1999-02-24,Franklin Park,IL,US,,,,168 Crape myrtle Cresent,,,Chicago,IL,68057,,,US,,,Home,,(123) 456-7947,Home/Personal,jbell@test.slidev.org,,,,American Indian - Alaskan Native,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000059,,,,Birth certificate,,LARRY,,MURPHY,,,,,,,,,Male,1999-02-25,Gary,IL,US,,,,363 Cryptomeria Blvd,,,Chicago,IL,68058,,,US,,,Home,,(123) 456-7948,Home/Personal,lmurphy@test.slidev.org,,,,American Indian - Alaskan Native,,Reduced price,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000060,,,,Birth certificate,,JEFFREY,,BAILEY,,,,,,,,,Male,1999-02-26,Geneva,IL,US,,,,387 Cypress Cresent,,,Chicago,IL,68059,,,US,,,Home,,(123) 456-7949,Home/Personal,jbailey@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000001,,,,Birth certificate,,THOMAS,,RIVERA,,,,,,,,,Male,1999-02-27,Albany ,NY,US,,,,11 East 36 Street,2331,,New York,NY,11794,MANHATTAN,,US,,,Home,,(123) 456-7950,Home/Personal,trivera@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000001,,,,Birth certificate,,CHRISTOPHER,,COOPER,,,,,,,,,Male,1999-02-28,Alexandria Bay ,NY,US,,,,34 East 146 Street,2740,,New York,NY,10614,QUEENS,,US,,,Home,,(123) 456-7951,Home/Personal,ccooper@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000002,,,,Birth certificate,,DANIEL,,RICHARDSON,,,,,,,,,Male,1999-03-01,Alfred ,NY,US,,,,120 West 2 Street,3158,,New York,NY,10671,MANHATTAN,,US,,,Home,,(123) 456-7952,Home/Personal,drichardson@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000003,,,,Birth certificate,,PAUL,,COX,,,,,,,,,Male,1999-03-02,Amherst ,NY,US,,,,116 East 134 Street,2544,,New York,NY,10076,QUEENS,,US,,,Home,,(123) 456-7953,Home/Personal,pcox@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000004,,,,Birth certificate,,MARK,,HOWARD,,,,,,,,,Male,1999-03-03,Ardsley ,NY,US,,,,112 East 94 Street,3666,,New York,NY,12366,QUEENS,,US,,,Home,,(123) 456-7954,Home/Personal,mhoward@test.slidev.org,,,,Asian,,Free,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000005,,,,Birth certificate,,DONALD,,WARD,,,,,,,,,Male,1999-03-04,Auburn ,NY,US,,,,112 West 73 Street,614,,New York,NY,10325,MANHATTAN,,US,,,Home,,(123) 456-7955,Home/Personal,dward@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000006,,,,Birth certificate,,GEORGE,CHARLES,TORRES,III,,,,,,,,Male,1999-03-05,Aurelius ,NY,US,,,,50 West 77 Street,2879,,New York,NY,10694,BROOKLYN,,US,,,Home,,(123) 456-7956,Home/Personal,gtorres@test.slidev.org,,,,Asian,,Reduced price,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000007,,,,Birth certificate,,KENNETH,,PETERSON,,,,,,,,,Male,1999-03-06,Aurora ,NY,US,,,,126 West 29 Street,3461,,New York,NY,11359,QUEENS,,US,,,Home,,(123) 456-7957,Home/Personal,kpeterson@test.slidev.org,,,,Asian,,,,,,,,,,,,,Other,,Special Education,,,,,,,,,,,,,
,900000008,,,,Birth certificate,,STEVEN,,GRAY,,,,,,,,,Male,1999-03-07,Bethlehem ,NY,US,,,,121 West 82 Street,2026,,New York,NY,12884,BROOKLYN,,US,,,Home,,(123) 456-7958,Home/Personal,sgray@test.slidev.org,,,,Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000009,,,,Birth certificate,,EDWARD,,RAMIREZ,,,,,,,,,Male,1999-03-08,Bedford Hills ,NY,US,,,,63 East 2 Street,3603,,New York,NY,12989,BROOKLYN,,US,,,Home,,(123) 456-7959,Home/Personal,eramirez@test.slidev.org,,,,White,,Free,,,,,,,,,,,Other,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000010,,,,Birth certificate,,BRIAN,,JAMES,,,,,,,,,Male,1999-03-09,Binghamton ,NY,US,,,,45 West 34 Street,236,,New York,NY,11986,QUEENS,,US,,,Home,,(123) 456-7960,Home/Personal,bjames@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000011,,,,Birth certificate,,RONALD,,WATSON,,,,,,,,,Male,1999-03-10,Black Lake ,NY,US,,,,71 East 137 Street,3465,,New York,NY,11739,BROOKLYN,,US,,,Home,,(123) 456-7961,Home/Personal,rwatson@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,Other,,Special Education,,,,,,,,,,,,,
,900000012,,,,Birth certificate,,ANTHONY,,BROOKS,,,,,,,,,Male,1999-03-11,Bolton Landing ,NY,US,,,,21 East 112 Street,1281,,New York,NY,12683,MANHATTAN,,US,,,Home,,(123) 456-7962,Home/Personal,abrooks@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000013,,,,Birth certificate,,KEVIN,,KELLY,,,,,,,,,Male,1999-03-12,Brewster ,NY,US,,,,46 West 65 Street,1338,,New York,NY,11908,BROOKLYN,,US,,,Home,,(123) 456-7963,Home/Personal,kkelly@test.slidev.org,,,,White,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,
