student_id,student_ref,student_state_id,student_id_1_id_system,student_id_1_assigning_org_code,student_id_1_id,student_name_verification,student_name_prefix,student_name_first,student_name_middle,student_name_last,student_name_suffix,student_name_maiden,student_other_name_1_type,student_other_name_1_prefix,student_other_name_1_first,student_other_name_1_middle,student_other_name_1_last,student_other_name_1_suffix,student_birth_date,student_sex,student_hispanic_latino_ethnicity,student_race,school_id,school_ref,school_state_id,school_id_1_id_system,school_id_1_id,entry_date,entry_grade_level,entry_type,repeat_grade_indicator,school_choice_transfer,exit_withdraw_date,exit_withdraw_type,graduation_plan,educational_plan_1
,,900000029,,,,,,ANGELA,,HERNANDEZ,,,,,,,,,1/18/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Distinguished,Full Time Employment
,,900000030,,,,,,MELISSA,,KING,Jr,,,,,,,,1/19/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000031,,,,,,JAMES,,WRIGHT,,,,,,,,,1/20/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000032,,,,,,JOHN,,LOPEZ,,,,,,,,,1/21/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000033,,,,,,ROBERT,,HILL,,,,,,,,,1/22/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000034,,,,,,MICHAEL,,SCOTT,,,,,,,,,1/23/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000035,,,,,,WILLIAM,,GREEN,,,,,,,,,1/24/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000036,,,,,,DAVID,,ADAMS,,,,,,,,,2/2/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000037,,,,,,RICHARD,,BAKER,,,,,,,,,2/3/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000038,,,,,,CHARLES,,GONZALEZ,,,,,,,,,2/4/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000039,,,,,,JOSEPH,,NELSON,,,,,,,,,2/5/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Recommended,Full Time Employment
,,900000040,,,,,,THOMAS,,CARTER,,,,,,,,,2/6/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000041,,,,,,CHRISTOPHER,,MITCHELL,,,,,,,,,2/7/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000042,,,,,,DANIEL,,PEREZ,,,,,,,,,2/8/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000043,,,,,,PAUL,,ROBERTS,,,,,,,,,2/9/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000044,,,,,,MARK,,TURNER,,,,,,,,,2/10/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000045,,,,,,DONALD,,PHILLIPS,,,,,,,,,2/11/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000046,,,,,,GEORGE,,CAMPBELL,,,,,,,,,2/12/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000047,,,,,,KENNETH,,PARKER,,,,,,,,,2/13/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000048,,,,,,STEVEN,,EVANS,,,,,,,,,2/14/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000049,,,,,,EDWARD,,EDWARDS,,,,,,,,,2/15/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000050,,,,,,BRIAN,,COLLINS,,,,,,,,,2/16/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000051,,,,,,RONALD,,STEWART,,,,,,,,,2/17/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000052,,,,,,ANTHONY,,SANCHEZ,,,,,,,,,2/18/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000053,,,,,,KEVIN,,MORRIS,,,,,,,,,2/19/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000054,,,,,,JASON,,ROGERS,,,,,,,,,2/20/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000055,,,,,,MATTHEW,,REED,,,,,,,,,2/21/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000056,,,,,,GARY,,COOK,,,,,,,,,2/22/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000057,,,,,,TIMOTHY,,MORGAN,,,,,,,,,2/23/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000058,,,,,,JOSE,,BELL,,,,,,,,,2/24/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000059,,,,,,LARRY,,MURPHY,,,,,,,,,2/25/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Recommended,Full Time Employment
,,900000060,,,,,,JEFFREY,,BAILEY,,,,,,,,,2/26/99,M,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000001,,,,,,THOMAS,,RIVERA,,,,,,,,,2/27/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Distinguished,Full Time Employment
,,900000001,,,,,,CHRISTOPHER,,COOPER,,,,,,,,,2/28/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000002,,,,,,DANIEL,,RICHARDSON,,,,,,,,,3/1/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000003,,,,,,PAUL,,COX,,,,,,,,,3/2/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000004,,,,,,MARK,,HOWARD,,,,,,,,,3/3/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000005,,,,,,DONALD,,WARD,,,,,,,,,3/4/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000006,,,,,,GEORGE,,TORRES,,,,,,,,,3/5/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000007,,,,,,KENNETH,,PETERSON,,,,,,,,,3/6/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000008,,,,,,STEVEN,,GRAY,,,,,,,,,3/7/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000009,,,,,,EDWARD,,RAMIREZ,,,,,,,,,3/8/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000010,,,,,,BRIAN,,JAMES,,,,,,,,,3/9/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000011,,,,,,RONALD,,WATSON,,,,,,,,,3/10/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000012,,,,,,ANTHONY,,BROOKS,,,,,,,,,3/11/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000013,,,,,,KEVIN,,KELLY,,,,,,,,,3/12/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000014,,,,,,JASON,,SANDERS,,,,,,,,,3/13/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000015,,,,,,MATTHEW,,PRICE,,,,,,,,,3/14/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Recommended,Full Time Employment
,,900000016,,,,,,GARY,,BENNETT,,,,,,,,,3/15/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000017,,,,,,TIMOTHY,,WOOD,,,,,,,,,3/16/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000018,,,,,,JOSE,,BARNES,,,,,,,,,3/17/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000019,,,,,,LARRY,,ROSS,,,,,,,,,3/18/99,M,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000020,,,,,,MARY,,HENDERSON,,,,,,,,,3/19/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000021,,,,,,PATRICIA,,COLEMAN,,,,,,,,,3/20/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000022,,,,,,LINDA,,JENKINS,,,,,,,,,3/21/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000023,,,,,,BARBARA,,PERRY,,,,,,,,,3/22/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000024,,,,,,ELIZABETH,,POWELL,,,,,,,,,3/23/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000025,,,,,,JENNIFER,,LONG,,,,,,,,,3/24/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000026,,,,,,MARIA,,PATTERSON,,,,,,,,,3/25/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000027,,,,,,SUSAN,,HUGHES,,,,,,,,,3/26/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000028,,,,,,MARGARET,,FLORES,,,,,,,,,3/27/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Distinguished,Full Time Employment
,,900000029,,,,,,DOROTHY,,WASHINGTON,,,,,,,,,3/28/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000030,,,,,,LISA,,BUTLER,,,,,,,,,3/29/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000031,,,,,,NANCY,,SIMMONS,,,,,,,,,3/30/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000032,,,,,,KAREN,,FOSTER,,,,,,,,,3/31/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000033,,,,,,BETTY,,GONZALES,,,,,,,,,4/1/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000034,,,,,,HELEN,,BRYANT,,,,,,,,,4/2/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000035,,,,,,SANDRA,,ALEXANDER,,,,,,,,,4/3/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000036,,,,,,DONNA,,RUSSELL,,,,,,,,,4/4/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000037,,,,,,CAROL,,GRIFFIN,,,,,,,,,4/5/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000038,,,,,,RUTH,,DIAZ,,,,,,,,,4/6/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Recommended,Full Time Employment
,,900000039,,,,,,SHARON,,HAYES,,,,,,,,,4/7/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000040,,,,,,MICHELLE,,MYERS,,,,,,,,,4/8/99,F,,,,,990000002,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
